Couch ID,Type of Birth
c0d605391754e05d8f38f5eab27b34d5,Twin
c0d605391754e05d8f38f5eab27b3fc4,Twin
c0d70d3c58ab4cb27c7f7c6751088018,Second Twin
c0e22b65394ecd8dafbcfcce917d5055,Twin
c11c1a5b4f0fa5243cfc0b58ba14b546,Twin
c140de93004c796c1c733129a8c16c2d,""
c1419175f519172b230b0a898c9a42f2,Second Twin
c1419175f519172b230b0a898c9a43b4,First Twin
c14ffc47ced4582bac8ac071d0bc569d,Second Twin
c14ffc47ced4582bac8ac071d0bc60a7,Twin
c17016ae79060e7b069b0e852bd3b705,""
c1a0188afce6eaf1cbb30ffc1e423a45,Twin
c1e39eebd465264df9277bc281fa2a57,""
c2066fd1115bb8dbe59eee98ae4ef29a,""
c20e4778779fda2b71bbe2f46c2fec21,""
c2563c39311cd116bddd489394fad090,""
c2563c39311cd116bddd489394fad2fc,""
c2573b18c40f510b49411f065133d890,Second Twin
c2573b18c40f510b49411f065171d515,Twin
c25ce00127a81393976586a06e2e8e68,Second Twin
c25ce00127a81393976586a06e6cf81b,Second Twin
c266a6c2fc4d7d453fc2377a1706d405,Second Twin
c266a6c2fc4d7d453fc2377a1706e18b,Twin
c266a6c2fc4d7d453fc2377a1706f11a,Second Twin
c266a6c2fc4d7d453fc2377a1706fec0,Twin
c266a6c2fc4d7d453fc2377a17071edf,Second Twin
c266a6c2fc4d7d453fc2377a17072b07,Twin
c285f8e8db123d605af07558af3d2019,Twin
c28f5d167f15181b2ae743300e8ad54a,""
c2c87045ac11b76c591c99fbecd2d5cf,Second Twin
c2c87045ac11b76c591c99fbecd2e2c8,Twin
c2ca02cc0fd8605dff85fae5a9b2e151,Second Twin
c2ca02cc0fd8605dff85fae5a9b2edd0,Twin
c2cdc929fbeef9d54a49d59c401e33c6,Second Twin
c2cdc929fbeef9d54a49d59c401e3521,Twin
c2ded73b974267829a60d43e67723243,""
c2ded73b974267829a60d43e6772ca9e,Second Twin
c2ded73b974267829a60d43e6772cedb,Twin
c2ec6b823352a8803eeb996a5cd79128,""
c2efe3dea4ea9df9104b9fa20e7adf76,""
c2fcdf0ea2c6ce4ad4500311cb68d2f5,Twin
c2fcdf0ea2c6ce4ad4500311cb68e0be,Twin
c2fcdf0ea2c6ce4ad4500311cb69b379,Second Twin
c2fcdf0ea2c6ce4ad4500311cb69b3a2,Twin
c33efbf205bc78441e65dff61f375407,""
c35ccd8068151e696e9ab10f345285b4,Twin
c380d4ee36d598e2d4c9805ba6147892,""
c38ce3ae78f821f163a3b1be2af9c625,Twin
c39c3dfeda7c14cb103db5017bb03ac1,Second Twin
c3b8a31ec200ffaeee44f6eb26334faf,Second Twin
c3b8a31ec200ffaeee44f6eb263358ac,Twin
c3b8a31ec200ffaeee44f6eb2635653e,""
c3b8a31ec200ffaeee44f6eb263669d1,Twin
c3b8a31ec200ffaeee44f6eb2636ccec,Second Twin
c3b8a31ec200ffaeee44f6eb2636d78d,Twin
c3b8a31ec200ffaeee44f6eb26393c67,Second Twin
c3b8a31ec200ffaeee44f6eb263941e1,Twin
c3b8a31ec200ffaeee44f6eb26397523,Second Twin
c3b8a31ec200ffaeee44f6eb26397bb2,Twin
c3b8a31ec200ffaeee44f6eb263b0c18,Second Twin
c3b8a31ec200ffaeee44f6eb263b0d9e,Twin
c3b8a31ec200ffaeee44f6eb263b478e,Second Twin
c3b8a31ec200ffaeee44f6eb263b56ca,Twin
c3b8a31ec200ffaeee44f6eb263c72e2,Second Twin
c3b8a31ec200ffaeee44f6eb263c7f5c,Twin
c3b8a31ec200ffaeee44f6eb263f6c50,Second Twin
c3b8a31ec200ffaeee44f6eb263f7983,Twin
c3b8a31ec200ffaeee44f6eb2642021e,Second Twin
c3b8a31ec200ffaeee44f6eb26420674,Twin
c3b8a31ec200ffaeee44f6eb26446b7a,Second Twin
c3b8a31ec200ffaeee44f6eb26447afe,Twin
c3b8a31ec200ffaeee44f6eb26464850,Second Twin
c3b8a31ec200ffaeee44f6eb264648d6,Twin
c3b8a31ec200ffaeee44f6eb2646ba39,Second Twin
c3b8a31ec200ffaeee44f6eb2646c2df,Twin
c3b8a31ec200ffaeee44f6eb2648bead,Second Twin
c3b8a31ec200ffaeee44f6eb2648bf63,Twin
c3b8a31ec200ffaeee44f6eb264906e2,Second Twin
c3b8a31ec200ffaeee44f6eb26490a87,Twin
c3b8a31ec200ffaeee44f6eb264aceb9,Twin
c3b8a31ec200ffaeee44f6eb264ce5ae,Second Twin
c3b8a31ec200ffaeee44f6eb264ce7da,Twin
c3b8a31ec200ffaeee44f6eb264cf770,Second Twin
c3b8a31ec200ffaeee44f6eb264cfe86,Twin
c3b8a31ec200ffaeee44f6eb264f5c85,Second Twin
c3b8a31ec200ffaeee44f6eb264f5eb4,Twin
c3c0afcdfe2112b88f8c0a4b87f85e7d,""
c3c382151de5417cb16f9ec389a36d40,Second Twin
c3c382151de5417cb16f9ec389a372d1,Twin
c3c382151de5417cb16f9ec389a37ec7,Second Twin
c3c382151de5417cb16f9ec389a38688,Twin
c3c382151de5417cb16f9ec389a3ce52,Second Twin
c3c382151de5417cb16f9ec389a3ce9d,Twin
c3c382151de5417cb16f9ec389a775d6,Second Twin
c3c382151de5417cb16f9ec389a7818e,Twin
c3c382151de5417cb16f9ec389a87a48,Second Twin
c3c382151de5417cb16f9ec389a889b2,Twin
c3c382151de5417cb16f9ec389a89bb4,""
c3c6b36796f59246f63f778755976cc3,Second Twin
c3c6b36796f59246f63f7787559779be,Twin
c3cbf9c834c03f6db2244b2e435d0c7d,""
c3cbf9c834c03f6db2244b2e435dc618,Second Twin
c3cbf9c834c03f6db2244b2e435dd5d5,Twin
c3cbf9c834c03f6db2244b2e435e704e,Second Twin
c3cbf9c834c03f6db2244b2e435e7d9f,Twin
c3cbf9c834c03f6db2244b2e435f8dd7,Second Twin
c3cbf9c834c03f6db2244b2e435f9093,Twin
c3cbf9c834c03f6db2244b2e43e12a13,Second Twin
c3cbf9c834c03f6db2244b2e43e12ddd,Twin
c3cbf9c834c03f6db2244b2e43e138af,Second Twin
c3cbf9c834c03f6db2244b2e43e1425f,Twin
c3cec50a4da0ee90c3967c2d5a7cbde3,""
c3e094c9a707b351037d056ce0c9d2dd,Twin
c3f6dec5ae76e694dcc3f13b9e98d93d,Twin
c423e517db703383421d65b55a5f7272,""
c42f63b886563022bfc0c1f1e869f841,Twin
c42f63b886563022bfc0c1f1e8e7e366,Second Twin
c43d69bc25a521e6f0e727abd2710e6a,""
c43d69bc25a521e6f0e727abd2718569,""
c43d69bc25a521e6f0e727abd271cc84,""
c43d69bc25a521e6f0e727abd271fb0d,""
c43d69bc25a521e6f0e727abd27232aa,Twin
c43d69bc25a521e6f0e727abd273d247,""
c43d69bc25a521e6f0e727abd27636f8,""
c43d69bc25a521e6f0e727abd2770b3d,Twin
c43d69bc25a521e6f0e727abd2773c1f,Twin
c43d69bc25a521e6f0e727abd27afd67,""
c43d69bc25a521e6f0e727abd27c8e34,Twin
c43d69bc25a521e6f0e727abd27f7b31,Second Twin
c43d69bc25a521e6f0e727abd27fbbac,Twin
c4543d03c28b489e074686a7734f9f20,Second Twin
c46d088e8909f405a7d8e846cba89297,Second Twin
c46d088e8909f405a7d8e846cba89844,Twin
c477f27f5650785504037315df50311f,Second Twin
c477f27f5650785504037315df503e7b,Twin
c4b1dc6e016c4d2f619d1cd0402c4f50,Second Twin
c4d20fecb8085ff5b57b734b7f1b89bf,Second Twin
c4d20fecb8085ff5b57b734b7f1b8b1b,Twin
c4d20fecb8085ff5b57b734b7f1e6cf1,Second Twin
c4d20fecb8085ff5b57b734b7f1e7a52,Twin
c4d20fecb8085ff5b57b734b7f1e85fd,Second Twin
c4d20fecb8085ff5b57b734b7f1e956e,Twin
c4d20fecb8085ff5b57b734b7fa39afe,Second Twin
c4d20fecb8085ff5b57b734b7fa39dd3,Twin
c4d20fecb8085ff5b57b734b7fa3d92e,Second Twin
c4d20fecb8085ff5b57b734b7fa3e465,Twin
c4d20fecb8085ff5b57b734b7fa69ee4,Second Twin
c4d20fecb8085ff5b57b734b7fa6a425,Twin
c4d20fecb8085ff5b57b734b7fa6eb98,Second Twin
c4d20fecb8085ff5b57b734b7fa6eff5,Twin
c4fb7315c1f0586782ee6e2d5d0b28df,Second Twin
c4fb7315c1f0586782ee6e2d5d0b38d7,Twin
c519be2021b15d719f4dd238ebac2ee1,Second Twin
c519be2021b15d719f4dd238ebac32d9,Twin
c522a092cf703f35bdefccb6344413ba,Twin
c522a092cf703f35bdefccb634c19642,Second Twin
c54871a96a8ccde9eed3c670688d3bd4,Second Twin
c562cd935730715fc919982bec3831eb,Twin
c562cd935730715fc919982bec383fc7,Second Twin
c562cd935730715fc919982bec384258,Twin
c562cd935730715fc919982becd5f25e,Second Twin
c562cd935730715fc919982becd5f49b,Twin
c562cd935730715fc919982becd6f5d0,Second Twin
c562cd935730715fc919982becd701d3,Twin
c562cd935730715fc919982becd70b66,Twin
c562cd935730715fc919982becd74d3b,Second Twin
c562cd935730715fc919982becd75bb4,Twin
c5b758f9035cbb74b143f60f4a1f825d,""
c5c831cd83cab74ebcfeaba2701e81ec,Second Twin
c5c831cd83cab74ebcfeaba2701e841d,Twin
c5d2dc70db75a596bf12d3236a4c535a,""
c5daf30e1559495c3acce38ed4bbd8ad,""
c640d8c816dca9a9bd30babcb00497fa,Twin
c6720e3d130ac96ce3e2ce92ac3aba3e,""
c6720e3d130ac96ce3e2ce92acb80698,Second Twin
c6720e3d130ac96ce3e2ce92acb81631,Twin
c67a7e724a3d18774b1f90940d9b3190,Second Twin
c67a7e724a3d18774b1f90940d9b3d1d,Twin
c699093b41353e6b879d53e9d5cbba1f,Second Twin
c699093b41353e6b879d53e9d5cbbda1,First Twin
c699093b41353e6b879d53e9d5cbc3e7,Second Twin
c699093b41353e6b879d53e9d5cbcb67,Second Twin
c6c1925b0bab617bfb79466088ad1a29,Second Twin
c6c1925b0bab617bfb79466088ad1bf2,Twin
c6c1925b0bab617bfb79466088ad6c7f,""
c6c1925b0bab617bfb79466088adf63e,""
c6c1925b0bab617bfb79466088b02263,Second Twin
c6c1925b0bab617bfb79466088b02d8d,Twin
c6c5e49b68a2f3e9737670a0c33ce2ab,Twin
c6cfd95fdb49a65ea39ab87afdfebb3b,""
c6eb58a91633013e2e6c8e09685a3c59,Second Twin
c6f809d2a226425ced67ae677993607d,Second Twin
c6f809d2a226425ced67ae6779936cfc,Twin
c6f809d2a226425ced67ae6779939cf9,Twin
c6f809d2a226425ced67ae677994db65,Twin
c713463e87442ca808d7b30542599127,Second Twin
c713463e87442ca808d7b305425ac5d2,Second Twin
c713463e87442ca808d7b305425c8d18,Second Twin
c713463e87442ca808d7b305425c8f1e,Twin
c7192a78ad248b73e05e6218ada17c54,Twin
c71a38d16187920e9f42c3b53ab04353,Second Twin
c71a38d16187920e9f42c3b53ab04ebd,Twin
c7434410438dc4df8c4c188eb4c33cde,Twin
c771c2f9dd486210f1d605a7ab7a43c9,Twin
c7a299e68cfdac1ee0ce0e711408f155,Second Twin
c7b8e3705d22ea97fad87b04a7867cd7,Second Twin
c7b8e3705d22ea97fad87b04a7868080,Third Triplet
c7b8e3705d22ea97fad87b04a7868eff,Second Triplet
c7b8e3705d22ea97fad87b04a7869e11,Triplet
c7b8e3705d22ea97fad87b04a7869edd,Twin
c7cd7e113c3fa707a0fbf30988e71045,Second Twin
c7cd7e113c3fa707a0fbf30988e717bd,Twin
c7cd7e113c3fa707a0fbf30988e785e2,""
c7d3d97c4ec5b566b1f957c0a3f76286,""
c7f418263878fd7f4fe58f7c7a5a9bec,Twin
c7f418263878fd7f4fe58f7c7a5aa5e8,Twin
c7f418263878fd7f4fe58f7c7a5ab4e8,Twin
c7f418263878fd7f4fe58f7c7ada559d,Second Twin
c807766a046cb328b7936a9f790f3a21,Second Twin
c807766a046cb328b7936a9f790f4078,First Twin
c813db914d129815da2fb1f1e4b7a2e3,""
c813db914d129815da2fb1f1e4b7b123,""
c813db914d129815da2fb1f1e4b7bbee,""
c813db914d129815da2fb1f1e4b7c7b2,""
c853852f79602acd417c9e5774360b6f,""
c853852f79602acd417c9e5774371245,""
c88e8b554f600b7f0715c2ee9ca58adc,""
c88f7af9a34f8480fd3a075fd35bdc65,""
c8afb1f79d1dc5ff6ed35b724d29f411,""
c8b25f88bd4a1f8f69a3cff373babd1f,""
c8c626debf4ddd1828fed737690e517d,Second Twin
c8c626debf4ddd1828fed737690e5ae7,Twin
c8c626debf4ddd1828fed737690f0f9f,Second Twin
c8c626debf4ddd1828fed737690f19f2,Twin
